East Asia and Pacific,Eastern Europe and Central Asia,Eastern and Southern Africa,Europe and Central Asia,Latin America and Caribbean,Middle East and North Africa,North America,South Asia,Sub-Saharan Africa,West and Central Africa,Western Europe
2128211.664,433433.015,1283057.516,904365.734,722917.251,752125.131,436554.403,2493875.871,2531634.336,1248576.82,470932.719
2112237.821,432773.152,1299559.273,901951.402,721821.197,756499.471,437596.016,2499744.11,2564286.299,1264727.026,469178.25
2096149.622,432097.232,1315756.92,899520.943,720593.511,760767.739,438662.876,2505305.273,2596490.224,1280733.304,467423.711
2080064.724,431380.009,1331790.199,897082.899,719239.265,764942.712,439742.005,2510344.009,2628378.005,1296587.806,465702.89
2063937.839,430634.332,1347688.23,894632.072,717766.945,768998.498,440806.399,2514972.902,2659980.83,1312292.6,463997.74
2047847.26,429864.557,1363457.98,892181.806,716162.075,772944.57,441902.874,2519095.722,2691261.699,1327803.719,462317.249
2031833.56,429104.675,1378985.07,889779.498,714439.931,776794.991,443034.15,2522692.016,2722160.635,1343175.565,460674.823
2015876.498,428348.496,1394433.771,887420.015,712606.868,780460.736,444202.181,2525757.466,2752760.191,1358326.42,459071.519
2000014.406,427580.844,1409594.548,885070.519,710659.537,784040.896,445344.872,2528422.349,2782874.278,1373279.73,457489.675
1984212.707,426792.17,1424619.384,882749.63,708601.945,787481.497,446514.56,2530524.181,2812651.693,1388032.309,455957.46
1968466.643,425987.787,1439496.902,880450.932,706432.908,790820.131,447637.23,2532183.025,2842041.606,1402544.704,454463.145
1952785.111,425166.86,1454181.22,878181.457,704165.399,794090.838,448794.485,2533227.343,2871054.855,1416873.635,453014.597
1937086.844,424373.603,1468678.056,875961.447,701797.369,797266.496,449883.719,2533827.66,2899638.943,1430960.887,451587.844
1921355.021,423577.606,1482942.062,873749.102,699325.042,800328.69,450969.723,2534054.328,2927744.921,1444802.859,450171.496
1905632.933,422780.075,1497068.978,871564.944,696765.89,803260.12,452020.583,2533737.711,2955469.788,1458400.81,448784.869
1889855.894,421992.53,1510915.369,869473.528,694113.958,806067.331,453122.801,2532877.487,2982706.085,1471790.716,447480.998
1874040.08,421221.184,1524503.203,867415.21,691375.731,808791.63,454171.278,2531630.763,3009393.845,1484890.642,446194.026
1858114.26,420441.487,1538031.064,865356.893,688544.478,811377.223,455164.151,2529956.64,3035745.705,1497714.641,444915.406
1842104.764,419665.067,1551283.208,863347.01,685624.996,813909.165,456153.704,2527757.072,3061585.227,1510302.019,443681.943
